pool,block_number,slope,beta_shape,r2
5bp_WETH_USDC,21543863,-1.643856181276892,0.821928090638446,0.14758439291110903
5bp_WETH_USDC,21546263,-1.62015981905818,0.81007990952909,0.14436899549196425
5bp_WETH_USDC,21548663,-1.5978216527723648,0.7989108263861824,0.14193575665971125
5bp_WETH_USDC,21551063,-1.4737129612563804,0.7368564806281902,0.127427451971577
5bp_WETH_USDC,21553463,-1.5024807647720373,0.7512403823860186,0.1305094152382663
5bp_WETH_USDC,21555863,-1.5027567050482145,0.7513783525241072,0.13049382020047184
5bp_WETH_USDC,21558263,-1.4846031414163874,0.7423015707081937,0.1393396754609466
5bp_WETH_USDC,21560663,-0.5850678187357724,0.2925339093678862,0.031065833251361696
5bp_WETH_USDC,21563063,-0.6924868199673213,0.34624340998366065,0.04151079044828765
5bp_WETH_USDC,21565463,-0.6460940739684323,0.32304703698421616,0.03696492234019899
5bp_WETH_USDC,21567863,-0.8433361479086444,0.4216680739543222,0.05747309541167289
5bp_WETH_USDC,21570263,-0.799252779798063,0.3996263898990315,0.05242142291489371
5bp_WETH_USDC,21572663,-0.5154572425493845,0.25772862127469226,0.023997002756229735
5bp_WETH_USDC,21575063,-0.8686559138339854,0.4343279569169927,0.05681068475547635
5bp_WETH_USDC,21577463,-0.8974626779011028,0.4487313389505514,0.05945977172021033
5bp_WETH_USDC,21579863,-0.8947808663617978,0.4473904331808989,0.05874667356474861
5bp_WETH_USDC,21582263,-1.0060243280525505,0.5030121640262752,0.07066089123275177
5bp_WETH_USDC,21584663,-0.9370077617410578,0.4685038808705289,0.06391415476864903
5bp_WETH_USDC,21587063,-1.0017400182891565,0.5008700091445782,0.06997219868826021
5bp_WETH_USDC,21589463,-1.164455328766752,0.582227664383376,0.08858001587125253
5bp_WETH_USDC,21591863,-1.0982883145170235,0.5491441572585117,0.08171154610522757
5bp_WETH_USDC,21594263,-1.0034740403376647,0.5017370201688324,0.07120297925199148
5bp_WETH_USDC,21596663,-1.1055977864360746,0.5527988932180373,0.08164748149913714
5bp_WETH_USDC,21599063,-1.1346910438053688,0.5673455219026844,0.08457389606206256
5bp_WETH_USDC,21601463,-1.0948898971801193,0.5474449485900597,0.08030151400928387
5bp_WETH_USDC,21603863,-1.0255486213042027,0.5127743106521013,0.07289858826812146
5bp_WETH_USDC,21606263,-1.0708151607034402,0.5354075803517201,0.07773421738898745
5bp_WETH_USDC,21608663,-1.1180419380274385,0.5590209690137192,0.08187757489245562
5bp_WETH_USDC,21611063,-1.0987466876529954,0.5493733438264977,0.08003492868360129
5bp_WETH_USDC,21613463,-1.230106265788958,0.615053132894479,0.10025247176805707
5bp_WETH_USDC,21615863,-1.2971763542767956,0.6485881771383978,0.10847513213138726
5bp_WETH_USDC,21618263,-1.3301061033178327,0.6650530516589164,0.11266750086723509
5bp_WETH_USDC,21620663,-1.3031501015467293,0.6515750507733646,0.10835016936174058
5bp_WETH_USDC,21623063,-1.2505788600485856,0.6252894300242928,0.1015562878232319
5bp_WETH_USDC,21625463,-1.2433823850994752,0.6216911925497376,0.10074283295475772
5bp_WETH_USDC,21627863,-1.2324455306345798,0.6162227653172899,0.09950528004140902
5bp_WETH_USDC,21630263,-1.3035394674086958,0.6517697337043479,0.13521963417805172
5bp_WETH_USDC,21632663,-1.03269550948386,0.51634775474193,0.09200553951493429
5bp_WETH_USDC,21635063,-1.1093559108018862,0.5546779554009431,0.10233094814690358
5bp_WETH_USDC,21637463,-1.1616532305446414,0.5808266152723207,0.10819539331771777
5bp_WETH_USDC,21639863,-1.1732942178213759,0.5866471089106879,0.10634670081717057
5bp_WETH_USDC,21642263,-1.1090819502295195,0.5545409751147597,0.09841406686236587
5bp_WETH_USDC,21644663,-1.0682087365207424,0.5341043682603712,0.09366935406578991
5bp_WETH_USDC,21647063,-0.9636241477998564,0.4818120738999282,0.0791604980653543
5bp_WETH_USDC,21649463,-1.1648324181474585,0.5824162090737293,0.10185550594292914
5bp_WETH_USDC,21651863,-1.143156020433782,0.571578010216891,0.0947597479653719
5bp_WETH_USDC,21654263,-1.1271397590057108,0.5635698795028554,0.08138510506040397
5bp_WETH_USDC,21656663,-0.8550725837080771,0.4275362918540386,0.050492641291768114
5bp_WETH_USDC,21659063,-0.9262425349057773,0.4631212674528887,0.07054330857272384
5bp_WETH_USDC,21661463,-0.9088157787100694,0.4544078893550347,0.06598433751322264
5bp_WETH_USDC,21663863,-0.8842970745384002,0.4421485372692001,0.06282055876739279
5bp_WETH_USDC,21666263,-0.8644986804619726,0.4322493402309863,0.05441629178704199
5bp_WETH_USDC,21668663,-0.9260211543779947,0.46301057718899735,0.06036533989486004
5bp_WETH_USDC,21671063,-0.8317746855503632,0.4158873427751816,0.042688881185797944
5bp_WETH_USDC,21673463,-0.7668275653356221,0.38341378266781106,0.03686651268526009
5bp_WETH_USDC,21675863,-0.7589592429264584,0.3794796214632292,0.03639671422466817
5bp_WETH_USDC,21678263,-0.7822166095368123,0.39110830476840613,0.0377215564609924
5bp_WETH_USDC,21680663,-0.7977091293770534,0.3988545646885267,0.039251970841928774
5bp_WETH_USDC,21683063,-0.8093056817838347,0.40465284089191733,0.040674205739212654
